backbone,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
Moirai2,ETTh1,main (swap dynamic),34,0.27272087,0.32141626,0.5588235294117647,0.8527409039670601
Moirai2,ETTh1,control (swap invariant),34,0.30490905,0.25401405,0.5,0.3786884272703901
Moirai2,ETTm1,main (swap dynamic),496,0.551797,0.583425,0.4375,0.04482193080102995
Moirai2,ETTm1,control (swap invariant),496,0.5773778,0.5811058,0.4798387096774194,0.5897529483464142
Moirai2,electricity,main (swap dynamic),1322,0.22800131,0.27284032,0.3978819969742814,5.454942002681823e-16
Moirai2,electricity,control (swap invariant),1322,0.2569886,0.2671992,0.45915279878971255,0.0037496835748780572
Moirai2,ETTh2,main (swap dynamic),39,0.36203894,0.43972236,0.48717948717948717,0.3221561306017975
Moirai2,ETTh2,control (swap invariant),39,0.3479284,0.37101126,0.46153846153846156,0.6536581539767212
Moirai2,ETTm2,main (swap dynamic),365,0.71381426,0.7631759,0.4246575342465753,0.03614663941449323
Moirai2,ETTm2,control (swap invariant),365,0.7151326,0.6968405,0.5013698630136987,0.8976375239663794
Moirai2,weather,main (swap dynamic),1236,1.1267197,1.1851729,0.465210355987055,0.0013766529750699392
Moirai2,weather,control (swap invariant),1236,1.1394845,1.1627877,0.48624595469255666,0.1480805440226287
Moirai2,exchange_rate,main (swap dynamic),42,1.4384156,1.3270082,0.5238095238095238,0.5438852990082523
Moirai2,exchange_rate,control (swap invariant),42,1.4256895,1.3164625,0.47619047619047616,0.6030205487700186
Moirai2,traffic,main (swap dynamic),7698,0.25054863,0.32639316,0.3682774746687451,3.635023724299805e-177
Moirai2,traffic,control (swap invariant),7698,0.32470676,0.25287881,0.5975578072226553,9.894667943860455e-119
Moirai2,solar,main (swap dynamic),6841,0.4202781,0.4867902,0.3999415290162257,3.811417910100139e-51
Moirai2,solar,control (swap invariant),6841,0.44409946,0.46170944,0.5160064318082151,0.8006499387555388
Moirai2,PEMS08,main (swap dynamic),3614,0.5920264,0.58685774,0.5107913669064749,0.23914968278912663
Moirai2,PEMS08,control (swap invariant),3614,0.57401067,0.58854294,0.4759269507470946,0.09151470549999484
Moirai2,AQWan,main (swap dynamic),296,0.4308762,0.5498377,0.4155405405405405,0.00013272302116169478
Moirai2,AQWan,control (swap invariant),296,0.48904243,0.49647006,0.47635135135135137,0.46451635566741256
Moirai2,Wind,main (swap dynamic),408,1.0610007,1.0531187,0.5147058823529411,0.8653989152968105
